name,category,latitude,longitude,note,district,province
"Mawanella Town Centre","Settlement",7.2530,80.4470,"Urban core on the A1 corridor; ~239 m elevation","Kegalle","Sabaragamuwa"
"Bathalegala (Bible Rock)","Landform",7.2244,80.4569,"Flat-topped rock outcrop; dominant landmark of the basin","Kegalle","Sabaragamuwa"
"Utuwankanda","Landform",7.2472,80.4300,"Rock hideout of Utuwankande Sura Saradiel (19th c.)","Kegalle","Sabaragamuwa"
"Alagalla Mountain","Landform",7.2200,80.5330,"Eastern ridge marking the climb to the central highlands","Kegalle","Sabaragamuwa"
"Devanagala Rock","Landform",7.2620,80.4230,"Rock outcrop north-west of the town centre","Kegalle","Sabaragamuwa"
"Maha Oya (Mawanella reach)","Hydrology",7.2515,80.4455,"Principal watercourse; shapes settlement and paddy layout","Kegalle","Sabaragamuwa"
"Mawanella Colonial Bridge","Heritage",7.2518,80.4462,"British-era brick arch bridge over the Maha Oya","Kegalle","Sabaragamuwa"
"Devanagala Raja Maha Viharaya","Heritage",7.2620,80.4230,"Historic Buddhist temple on Devanagala","Kegalle","Sabaragamuwa"
"A1 Highway Junction","Transport",7.2532,80.4472,"Colombo-Kandy Road; main regional access point","Kegalle","Sabaragamuwa"
"Kadugannawa Railway Station","Transport",7.2540,80.5280,"Nearest rail node, approximately 10 km east","Kandy","Central"
